Name
MSFT
AAPL
NVDA
GOOG
GOOGL
AMZN
META
BRK.B
LLY
AVGO
JPM
V
TSLA
WMT
XOM
UNH
MA
PG
JNJ
HD
MRK
COST
ORCL
CVX
BAC
ABBV
CRM
KO
AMD
PEP
NFLX
TMO
ADBE
WFC
LIN
DIS
MCD
ACN
CSCO
TMUS
ABT
DHR
QCOM
CAT
INTU
GE
AXP
IBM
VZ
AMAT
CMCSA
TXN
PM
NOW
MS
COP
BX
PFE
AMGN
INTC
UBER
NKE
UNP
GS
NEE
RTX
SCHW
ISRG
SPGI
LOW
SYK
ETN
HON
UPS
PGR
ELV
MU
T
BKNG
C
LRCX
BLK
LMT
DE
TJX
BSX
MDT
ABNB
VRTX
ADP
SBUX
BA
CI
BMY
MMC
CB
REGN
ADI
MDLZ
PLD
PANW
FI
KLAC
CVS
WM
HCA
GILD
AMT
CMG
SO
SNPS
ANET
EOG
SHW
GD
CME
DUK
TGT
CDNS
ITW
ICE
MO
CL
MPC
EQIX
MAR
MCK
NOC
PH
APH
SLB
MCO
FCX
TDG
ZTS
PYPL
BDX
PSX
CTAS
TT
CSX
FDX
USB
ORLY
PXD
ECL
PNC
EMR
AON
RSG
NXPI
OXY
PCAR
CEG
ROP
MSI
COF
MNST
VLO
NSC
WELL
EW
DXCM
EL
CPRT
MET
APD
GM
AZO
TFC
HLT
AJG
F
MMM
AIG
FTNT
CARR
MCHP
HES
TRV
AFL
DHI
WMB
STZ
COR
OKE
GWW
KHC
SPG
KMB
O
PSA
ADSK
SRE
AEP
ALL
KDP
NEM
ROST
SMCI
PAYX
LULU
JCI
URI
DLR
IQV
BK
TEL
D
ODFL
LEN
AMP
KMI
MRNA
NUE
CMI
CCI
AME
IDXX
FIS
CNC
KR
PRU
GIS
A
DOW
YUM
GEV
GEHC
LHX
FAST
SYY
HSY
CTVA
CHTR
HUM
OTIS
EXC
CSGP
IR
PWR
MSCI
KVUE
FANG
MLM
PCG
NDAQ
IT
RCL
ACGL
LVS
HAL
EA
VMC
CTSH
PEG
DVN
GPN
LYB
BKR
DFS
CDW
ED
VRSK
XYL
ROK
DG
MPWR
DAL
ADM
DD
XEL
PPG
HIG
FICO
VICI
BIIB
WAB
ANSS
EXR
WST
EFX
ON
TSCO
HPQ
GRMN
EIX
AVB
WTW
RMD
GLW
FTV
DLTR
RJF
CBRE
EBAY
HWM
MTD
CHD
WEC
TRGP
KEYS
FITB
ZBH
CAH
NVR
TROW
MTB
EQR
TTWO
PHM
AWK
ALGN
DOV
BRO
BF.B
WY
DTE
BR
IRM
AXON
VLTO
BLDR
ETR
WDC
GPC
STT
CPAY
HPE
FE
DECK
IFF
PTC
SBAC
MOH
TSN
HUBB
CTRA
ES
INVH
ARE
BAX
ROL
LYV
NTAP
STLD
BALL
WBD
MKC
PPL
K
STE
HBAN
WRB
AEE
ULTA
ILMN
HRL
APTV
PFG
FSLR
CBOE
CCL
OMC
CINF
VRSN
DRI
CNP
WAT
CLX
SYF
STX
RF
J
TXT
HOLX
CMS
COO
ATO
EXPE
TYL
VTR
LH
LUV
LDOS
EQT
CE
UAL
NTRS
TDY
AVY
L
JBHT
DPZ
IEX
CFG
EXPD
SWKS
FDS
BBY
ESS
MRO
EG
NRG
PKG
AKAM
TER
WBA
MAS
DGX
BG
CAG
MAA
CF
NDSN
ENPH
TRMB
FOX
JBL
POOL
FOXA
SNA
ZBRA
EPAM
NWSA
NWS
KEY
SWK
VTRS
HST
CPB
TAP
ALB
MGM
BEN
GEN
DOC
AMCR
PNR
LNT
AOS
RVTY
NI
SJM
KIM
UDR
AES
CRL
LW
WRK
EVRG
JKHY
IP
IPG
APA
PODD
DVA
INCY
LKQ
JNPR
EMN
ALLE
KMX
REG
SOLV
HII
WYNN
QRVO
PAYC
RL
FFIV
CPT
BBWI
CTLT
TECH
UHS
TFX
BXP
MOS
HSIC
DAY
AIZ
PNW
TPR
AAL
HAS
FRT
MTCH
CZR
CHRW
GNRC
NCLH
BIO
ETSY
PARA
BWA
MKTX
RHI
GL
FMC
MHK
CMA
IVZ
